0,0
0,2
0,5
1,4
2,4
2,8
3,2
4,0
4,6
6,3
7,1
7,2
8,3
8,4
8,5
9,2
9,4
9,6
9,8
10,0
11,2
11,4
11,5
12,7
13,2
14,1
14,5
15,5
16,3
17,1
18,1
18,2
18,3
18,5
19,2
19,8
20,3
20,5
23,5
24,8
25,2
25,3
25,5
26,2
26,6
26,8
27,7
29,0
29,6
29,8
30,0
30,5
30,7
31,1
31,3
32,0
32,1
33,4
33,6
34,0
35,3
35,5
35,8
36,1
36,6
36,7
37,4
37,6
37,8
38,0
38,3
39,3
40,3
40,5
41,0
41,1
41,2
41,4
42,3
43,0
43,4
44,4
46,2
48,1
48,5
48,7
49,3
49,4
50,5
51,5
51,6
51,7
55,7
55,8
56,2
56,7
57,2
57,7
57,8
58,8
59,0
59,2
60,1
60,3
60,6
60,7
64,0
64,6
65,3
65,6
65,8
66,0
66,2
66,6
66,7
67,0
67,3
67,6
68,3
69,1
69,3
70,4
71,3
71,7
72,1
72,3
72,6
73,1
73,2
73,7
74,0
74,1
74,3
76,7
77,0
77,3
77,5
78,5
78,7
79,2
79,4
81,1
81,3
82,0
82,2
82,7
83,2
83,6
83,7
83,8
84,7
86,1
87,0
87,4
87,6
88,3
88,8
89,8
90,0
90,1
90,2
92,0
92,5
93,0
93,1
93,2
93,4
94,0
94,1
96,6
96,7
97,3
97,4
97,5
97,8
99,1
99,3
100,1
100,4
100,5
100,8
101,2
101,3
101,6
103,4
104,1
104,6
104,8
105,2
105,8
106,2
106,4
106,5
107,1
107,5
108,0
108,7
108,8
109,4
109,6
110,7
111,3
111,4
112,3
112,8
113,5
113,6
114,2
114,5
115,0
115,1
116,1
116,3
116,6
116,7
117,5
117,7
118,2
120,8
122,0
122,4
122,5
122,7
123,5
124,3
125,6
126,5
127,4
127,8
128,2
129,2
130,6
131,4
134,8
136,4
136,8
137,2
137,4
138,0
138,3
138,5
138,6
139,1
141,1
141,6
141,8
142,0
143,2
143,7
144,0
144,1
144,4
145,8
146,2
147,2
147,7
147,8
148,6
149,1
149,3
149,4
149,8
150,1
150,3
151,0
151,8
153,4
153,8
154,0
154,7
155,2
155,3
155,5
155,8
156,0
156,1
156,2
156,6
157,1
157,4
157,5
158,2
159,5
160,2
160,6
161,1
161,3
161,7
162,0
162,6
163,3
163,5
164,2
164,8
165,3
165,4
165,6
167,6
168,5
171,0
172,2
172,7
173,1
173,3
173,4
174,0
174,7
175,0
175,1
175,6
176,0
176,1
179,1
179,3
180,2
180,3
181,5
182,7
184,2
184,7
186,0
186,6
189,1
189,2
189,4
189,8
190,1
190,4
191,0
191,7
192,3
192,5
193,0
194,3
196,5
197,5
197,6
199,2
199,5
200,1
200,7
201,1
201,4
201,6
201,8
202,6
203,6
204,0
204,2
205,7
205,8
206,5
207,0
207,1
207,6
207,7
207,8
209,2
210,3
210,5
210,7
211,6
212,3
212,5
213,6
214,6
215,2
215,3
215,6
215,7
215,8
216,4
218,2
219,2
220,4
220,7
220,8
221,7
222,3
222,5
224,0
224,2
224,8
227,2
228,2
228,3
228,7
229,2
229,7
230,0
230,1
230,7
231,0
231,6
232,1
232,3
232,7
233,1
233,4
233,8
234,3
235,0
235,4
235,5
237,2
238,1
238,7
239,4
240,2
240,4
240,5
240,8
241,0
241,5
241,6
242,2
242,8
243,3
243,5
244,2
244,7
244,8
245,6
245,8
247,0
247,2
247,4
248,1
248,3
248,8
250,7
251,8
253,3
253,4
253,6
254,4
254,8
255,1
255,5
256,7
257,7
258,1
258,4
259,2
259,4
259,6
260,2
260,6
261,6
262,1
262,7
263,4
264,0
264,1
265,1
265,2
266,7
267,0
268,5
268,6
268,8
269,8
270,5
272,1
274,0
274,2
274,4
274,8
275,7
276,5
276,8
277,4
277,8
278,4
278,5
278,6
279,4
279,6
280,0
280,5
280,8
281,3
281,4
281,8
